start
vertice: 1: pai:-1 nivel:0
vertice: 3: pai:1 nivel:1
vertice: 6: pai:1 nivel:1
vertice: 8: pai:1 nivel:1
vertice: 10: pai:1 nivel:1
vertice: 19: pai:1 nivel:1
vertice: 20: pai:1 nivel:1
vertice: 21: pai:1 nivel:1
vertice: 22: pai:1 nivel:1
vertice: 27: pai:1 nivel:1
vertice: 28: pai:1 nivel:1
vertice: 30: pai:1 nivel:1
vertice: 33: pai:1 nivel:1
vertice: 34: pai:1 nivel:1
vertice: 35: pai:1 nivel:1
vertice: 36: pai:1 nivel:1
vertice: 37: pai:1 nivel:1
vertice: 39: pai:1 nivel:1
vertice: 40: pai:1 nivel:1
vertice: 50: pai:1 nivel:1
vertice: 53: pai:1 nivel:1
vertice: 56: pai:1 nivel:1
vertice: 58: pai:1 nivel:1
vertice: 59: pai:1 nivel:1
vertice: 60: pai:1 nivel:1
vertice: 61: pai:1 nivel:1
vertice: 67: pai:1 nivel:1
vertice: 69: pai:1 nivel:1
vertice: 70: pai:1 nivel:1
vertice: 71: pai:1 nivel:1
vertice: 72: pai:1 nivel:1
vertice: 75: pai:1 nivel:1
vertice: 80: pai:1 nivel:1
vertice: 81: pai:1 nivel:1
vertice: 84: pai:1 nivel:1
vertice: 85: pai:1 nivel:1
vertice: 86: pai:1 nivel:1
vertice: 88: pai:1 nivel:1
vertice: 92: pai:1 nivel:1
vertice: 95: pai:1 nivel:1
vertice: 96: pai:1 nivel:1
vertice: 97: pai:1 nivel:1
vertice: 98: pai:1 nivel:1
vertice: 100: pai:1 nivel:1
vertice: 103: pai:1 nivel:1
vertice: 104: pai:1 nivel:1
vertice: 105: pai:1 nivel:1
vertice: 106: pai:1 nivel:1
vertice: 109: pai:1 nivel:1
vertice: 110: pai:1 nivel:1
vertice: 111: pai:1 nivel:1
vertice: 112: pai:1 nivel:1
vertice: 114: pai:1 nivel:1
vertice: 120: pai:1 nivel:1
vertice: 124: pai:1 nivel:1
vertice: 125: pai:1 nivel:1
vertice: 129: pai:1 nivel:1
vertice: 130: pai:1 nivel:1
vertice: 131: pai:1 nivel:1
vertice: 134: pai:1 nivel:1
vertice: 136: pai:1 nivel:1
vertice: 139: pai:1 nivel:1
vertice: 141: pai:1 nivel:1
vertice: 145: pai:1 nivel:1
vertice: 146: pai:1 nivel:1
vertice: 147: pai:1 nivel:1
vertice: 150: pai:1 nivel:1
vertice: 151: pai:1 nivel:1
vertice: 154: pai:1 nivel:1
vertice: 155: pai:1 nivel:1
vertice: 157: pai:1 nivel:1
vertice: 158: pai:1 nivel:1
vertice: 159: pai:1 nivel:1
vertice: 161: pai:1 nivel:1
vertice: 163: pai:1 nivel:1
vertice: 165: pai:1 nivel:1
vertice: 167: pai:1 nivel:1
vertice: 169: pai:1 nivel:1
vertice: 170: pai:1 nivel:1
vertice: 173: pai:1 nivel:1
vertice: 174: pai:1 nivel:1
vertice: 176: pai:1 nivel:1
vertice: 177: pai:1 nivel:1
vertice: 185: pai:1 nivel:1
vertice: 197: pai:1 nivel:1
vertice: 200: pai:1 nivel:1
vertice: 206: pai:1 nivel:1
vertice: 207: pai:1 nivel:1
vertice: 208: pai:1 nivel:1
vertice: 210: pai:1 nivel:1
vertice: 211: pai:1 nivel:1
vertice: 214: pai:1 nivel:1
vertice: 215: pai:1 nivel:1
vertice: 216: pai:1 nivel:1
vertice: 217: pai:1 nivel:1
vertice: 220: pai:1 nivel:1
vertice: 221: pai:1 nivel:1
vertice: 223: pai:1 nivel:1
vertice: 225: pai:1 nivel:1
vertice: 227: pai:1 nivel:1
vertice: 228: pai:1 nivel:1
vertice: 231: pai:1 nivel:1
vertice: 237: pai:1 nivel:1
vertice: 238: pai:1 nivel:1
vertice: 248: pai:1 nivel:1
vertice: 250: pai:1 nivel:1
vertice: 253: pai:1 nivel:1
vertice: 254: pai:1 nivel:1
vertice: 256: pai:1 nivel:1
vertice: 257: pai:1 nivel:1
vertice: 259: pai:1 nivel:1
vertice: 260: pai:1 nivel:1
vertice: 263: pai:1 nivel:1
vertice: 264: pai:1 nivel:1
vertice: 267: pai:1 nivel:1
vertice: 268: pai:1 nivel:1
vertice: 269: pai:1 nivel:1
vertice: 271: pai:1 nivel:1
vertice: 272: pai:1 nivel:1
vertice: 273: pai:1 nivel:1
vertice: 276: pai:1 nivel:1
vertice: 277: pai:1 nivel:1
vertice: 280: pai:1 nivel:1
vertice: 281: pai:1 nivel:1
vertice: 284: pai:1 nivel:1
vertice: 285: pai:1 nivel:1
vertice: 286: pai:1 nivel:1
vertice: 288: pai:1 nivel:1
vertice: 296: pai:1 nivel:1
vertice: 297: pai:1 nivel:1
vertice: 298: pai:1 nivel:1
vertice: 302: pai:1 nivel:1
vertice: 303: pai:1 nivel:1
vertice: 304: pai:1 nivel:1
vertice: 307: pai:1 nivel:1
vertice: 309: pai:1 nivel:1
vertice: 310: pai:1 nivel:1
vertice: 311: pai:1 nivel:1
vertice: 312: pai:1 nivel:1
vertice: 313: pai:1 nivel:1
vertice: 315: pai:1 nivel:1
vertice: 317: pai:1 nivel:1
vertice: 320: pai:1 nivel:1
vertice: 330: pai:1 nivel:1
vertice: 333: pai:1 nivel:1
vertice: 337: pai:1 nivel:1
vertice: 343: pai:1 nivel:1
vertice: 344: pai:1 nivel:1
vertice: 345: pai:1 nivel:1
vertice: 348: pai:1 nivel:1
vertice: 351: pai:1 nivel:1
vertice: 360: pai:1 nivel:1
vertice: 361: pai:1 nivel:1
vertice: 363: pai:1 nivel:1
vertice: 364: pai:1 nivel:1
vertice: 365: pai:1 nivel:1
vertice: 366: pai:1 nivel:1
vertice: 369: pai:1 nivel:1
vertice: 372: pai:1 nivel:1
vertice: 373: pai:1 nivel:1
vertice: 374: pai:1 nivel:1
vertice: 378: pai:1 nivel:1
vertice: 381: pai:1 nivel:1
vertice: 382: pai:1 nivel:1
vertice: 386: pai:1 nivel:1
vertice: 388: pai:1 nivel:1
vertice: 389: pai:1 nivel:1
vertice: 392: pai:1 nivel:1
vertice: 395: pai:1 nivel:1
vertice: 396: pai:1 nivel:1
vertice: 398: pai:1 nivel:1
vertice: 405: pai:1 nivel:1
vertice: 406: pai:1 nivel:1
vertice: 409: pai:1 nivel:1
vertice: 415: pai:1 nivel:1
vertice: 416: pai:1 nivel:1
vertice: 417: pai:1 nivel:1
vertice: 418: pai:1 nivel:1
vertice: 419: pai:1 nivel:1
vertice: 420: pai:1 nivel:1
vertice: 424: pai:1 nivel:1
vertice: 425: pai:1 nivel:1
vertice: 436: pai:1 nivel:1
vertice: 441: pai:1 nivel:1
vertice: 444: pai:1 nivel:1
vertice: 445: pai:1 nivel:1
vertice: 449: pai:1 nivel:1
vertice: 456: pai:1 nivel:1
vertice: 458: pai:1 nivel:1
vertice: 459: pai:1 nivel:1
vertice: 461: pai:1 nivel:1
vertice: 462: pai:1 nivel:1
vertice: 465: pai:1 nivel:1
vertice: 473: pai:1 nivel:1
vertice: 480: pai:1 nivel:1
vertice: 481: pai:1 nivel:1
vertice: 482: pai:1 nivel:1
vertice: 491: pai:1 nivel:1
vertice: 494: pai:1 nivel:1
vertice: 495: pai:1 nivel:1
vertice: 496: pai:1 nivel:1
vertice: 499: pai:1 nivel:1
vertice: 511: pai:1 nivel:1
vertice: 516: pai:1 nivel:1
vertice: 517: pai:1 nivel:1
vertice: 525: pai:1 nivel:1
vertice: 527: pai:1 nivel:1
vertice: 531: pai:1 nivel:1
vertice: 542: pai:1 nivel:1
vertice: 543: pai:1 nivel:1
vertice: 554: pai:1 nivel:1
vertice: 571: pai:1 nivel:1
vertice: 572: pai:1 nivel:1
vertice: 573: pai:1 nivel:1
vertice: 582: pai:1 nivel:1
vertice: 589: pai:1 nivel:1
vertice: 591: pai:1 nivel:1
vertice: 593: pai:1 nivel:1
vertice: 596: pai:1 nivel:1
vertice: 597: pai:1 nivel:1
vertice: 614: pai:1 nivel:1
vertice: 615: pai:1 nivel:1
vertice: 628: pai:1 nivel:1
vertice: 633: pai:1 nivel:1
vertice: 636: pai:1 nivel:1
vertice: 639: pai:1 nivel:1
vertice: 642: pai:1 nivel:1
