start
Vertice: 1, Nivel: 0, Pai: -1
Vertice: 34, Nivel: 1, Pai: 1
Vertice: 0, Nivel: 2, Pai: 34
Vertice: 21, Nivel: 3, Pai: 0
Vertice: 2, Nivel: 4, Pai: 21
Vertice: 9, Nivel: 5, Pai: 2
Vertice: 3, Nivel: 6, Pai: 9
Vertice: 26, Nivel: 7, Pai: 3
Vertice: 4, Nivel: 8, Pai: 26
Vertice: 7, Nivel: 9, Pai: 4
Vertice: 6, Nivel: 10, Pai: 7
Vertice: 5, Nivel: 11, Pai: 6
Vertice: 103, Nivel: 12, Pai: 5
Vertice: 17, Nivel: 13, Pai: 103
Vertice: 16, Nivel: 14, Pai: 17
Vertice: 44, Nivel: 15, Pai: 16
Vertice: 14, Nivel: 16, Pai: 44
Vertice: 24, Nivel: 17, Pai: 14
Vertice: 20, Nivel: 18, Pai: 24
Vertice: 10, Nivel: 19, Pai: 20
Vertice: 5621, Nivel: 20, Pai: 10
Vertice: 2236, Nivel: 20, Pai: 10
Vertice: 94, Nivel: 21, Pai: 2236
Vertice: 1060, Nivel: 22, Pai: 94
Vertice: 272, Nivel: 23, Pai: 1060
Vertice: 1951, Nivel: 24, Pai: 272
Vertice: 236, Nivel: 25, Pai: 1951
Vertice: 9099, Nivel: 26, Pai: 236
Vertice: 3251, Nivel: 27, Pai: 9099
Vertice: 2999, Nivel: 26, Pai: 236
Vertice: 4466, Nivel: 27, Pai: 2999
Vertice: 220, Nivel: 28, Pai: 4466
Vertice: 8, Nivel: 29, Pai: 220
Vertice: 3222, Nivel: 30, Pai: 8
Vertice: 527, Nivel: 31, Pai: 3222
Vertice: 11214, Nivel: 32, Pai: 527
Vertice: 89, Nivel: 33, Pai: 11214
Vertice: 12, Nivel: 34, Pai: 89
Vertice: 138, Nivel: 35, Pai: 12
Vertice: 13735, Nivel: 36, Pai: 138
Vertice: 5601, Nivel: 36, Pai: 138
Vertice: 73, Nivel: 37, Pai: 5601
Vertice: 3633, Nivel: 38, Pai: 73
Vertice: 1017, Nivel: 39, Pai: 3633
Vertice: 991, Nivel: 40, Pai: 1017
Vertice: 9261, Nivel: 41, Pai: 991
Vertice: 1381, Nivel: 42, Pai: 9261
Vertice: 41, Nivel: 43, Pai: 1381
Vertice: 22, Nivel: 44, Pai: 41
Vertice: 18, Nivel: 45, Pai: 22
Vertice: 53, Nivel: 46, Pai: 18
Vertice: 33, Nivel: 47, Pai: 53
Vertice: 2214, Nivel: 48, Pai: 33
Vertice: 28, Nivel: 49, Pai: 2214
Vertice: 3184, Nivel: 50, Pai: 28
Vertice: 117, Nivel: 51, Pai: 3184
Vertice: 120, Nivel: 52, Pai: 117
Vertice: 38, Nivel: 53, Pai: 120
Vertice: 7013, Nivel: 54, Pai: 38
Vertice: 366, Nivel: 55, Pai: 7013
Vertice: 11, Nivel: 56, Pai: 366
Vertice: 3344, Nivel: 57, Pai: 11
Vertice: 21399, Nivel: 58, Pai: 3344
Vertice: 1399, Nivel: 57, Pai: 11
Vertice: 26988, Nivel: 58, Pai: 1399
Vertice: 1844, Nivel: 58, Pai: 1399
Vertice: 23683, Nivel: 59, Pai: 1844
Vertice: 5795, Nivel: 59, Pai: 1844
Vertice: 2520, Nivel: 59, Pai: 1844
Vertice: 1780, Nivel: 60, Pai: 2520
Vertice: 3760, Nivel: 61, Pai: 1780
Vertice: 15, Nivel: 62, Pai: 3760
Vertice: 1257, Nivel: 63, Pai: 15
Vertice: 29, Nivel: 64, Pai: 1257
Vertice: 3625, Nivel: 65, Pai: 29
Vertice: 394, Nivel: 66, Pai: 3625
Vertice: 99, Nivel: 67, Pai: 394
Vertice: 5682, Nivel: 68, Pai: 99
Vertice: 1223, Nivel: 69, Pai: 5682
Vertice: 20453, Nivel: 70, Pai: 1223
Vertice: 30002, Nivel: 70, Pai: 1223
Vertice: 18307, Nivel: 70, Pai: 1223
Vertice: 22040, Nivel: 70, Pai: 1223
Vertice: 8120, Nivel: 68, Pai: 99
Vertice: 4198, Nivel: 68, Pai: 99
Vertice: 173, Nivel: 69, Pai: 4198
Vertice: 2582, Nivel: 70, Pai: 173
Vertice: 237, Nivel: 71, Pai: 2582
Vertice: 8770, Nivel: 72, Pai: 237
Vertice: 693, Nivel: 73, Pai: 8770
Vertice: 2053, Nivel: 74, Pai: 693
Vertice: 162, Nivel: 75, Pai: 2053
Vertice: 536, Nivel: 76, Pai: 162
Vertice: 62, Nivel: 77, Pai: 536
Vertice: 425, Nivel: 78, Pai: 62
Vertice: 146, Nivel: 79, Pai: 425
Vertice: 1398, Nivel: 80, Pai: 146
Vertice: 645, Nivel: 81, Pai: 1398
Vertice: 77, Nivel: 82, Pai: 645
Vertice: 76, Nivel: 83, Pai: 77
Vertice: 48, Nivel: 84, Pai: 76
Vertice: 40, Nivel: 85, Pai: 48
Vertice: 46, Nivel: 86, Pai: 40
Vertice: 445, Nivel: 87, Pai: 46
Vertice: 161, Nivel: 88, Pai: 445
Vertice: 65, Nivel: 89, Pai: 161
Vertice: 8169, Nivel: 90, Pai: 65
Vertice: 5475, Nivel: 90, Pai: 65
Vertice: 3800, Nivel: 90, Pai: 65
Vertice: 131, Nivel: 91, Pai: 3800
Vertice: 446, Nivel: 92, Pai: 131
Vertice: 291, Nivel: 93, Pai: 446
Vertice: 1113, Nivel: 94, Pai: 291
Vertice: 679, Nivel: 95, Pai: 1113
Vertice: 56, Nivel: 96, Pai: 679
Vertice: 600, Nivel: 97, Pai: 56
Vertice: 78, Nivel: 98, Pai: 600
Vertice: 57, Nivel: 99, Pai: 78
Vertice: 130, Nivel: 100, Pai: 57
Vertice: 119, Nivel: 101, Pai: 130
Vertice: 279, Nivel: 102, Pai: 119
Vertice: 10947, Nivel: 103, Pai: 279
Vertice: 341, Nivel: 104, Pai: 10947
Vertice: 17778, Nivel: 105, Pai: 341
Vertice: 17918, Nivel: 105, Pai: 341
Vertice: 19463, Nivel: 105, Pai: 341
Vertice: 6312, Nivel: 105, Pai: 341
Vertice: 1066, Nivel: 106, Pai: 6312
Vertice: 203, Nivel: 107, Pai: 1066
Vertice: 14369, Nivel: 108, Pai: 203
Vertice: 14392, Nivel: 108, Pai: 203
Vertice: 15935, Nivel: 108, Pai: 203
Vertice: 14541, Nivel: 108, Pai: 203
Vertice: 17753, Nivel: 108, Pai: 203
Vertice: 19663, Nivel: 108, Pai: 203
Vertice: 19753, Nivel: 108, Pai: 203
Vertice: 19597, Nivel: 108, Pai: 203
Vertice: 7339, Nivel: 108, Pai: 203
Vertice: 246, Nivel: 109, Pai: 7339
Vertice: 19, Nivel: 110, Pai: 246
Vertice: 181, Nivel: 111, Pai: 19
Vertice: 3439, Nivel: 112, Pai: 181
Vertice: 42, Nivel: 113, Pai: 3439
Vertice: 10199, Nivel: 114, Pai: 42
Vertice: 965, Nivel: 114, Pai: 42
Vertice: 30694, Nivel: 115, Pai: 965
Vertice: 27902, Nivel: 115, Pai: 965
Vertice: 10545, Nivel: 115, Pai: 965
Vertice: 4440, Nivel: 115, Pai: 965
Vertice: 512, Nivel: 116, Pai: 4440
Vertice: 19531, Nivel: 117, Pai: 512
Vertice: 21414, Nivel: 117, Pai: 512
Vertice: 8033, Nivel: 117, Pai: 512
Vertice: 23, Nivel: 118, Pai: 8033
Vertice: 3197, Nivel: 119, Pai: 23
Vertice: 27, Nivel: 120, Pai: 3197
Vertice: 1722, Nivel: 121, Pai: 27
Vertice: 3314, Nivel: 121, Pai: 27
Vertice: 87, Nivel: 122, Pai: 3314
Vertice: 60, Nivel: 123, Pai: 87
Vertice: 43, Nivel: 124, Pai: 60
